,timeUS,a_x,a_y,a_z,g_x,g_y,g_z
0,50654626,9.21786117553711,-0.06557302922010422,-3.355518341064453,0.0007239187834784389,0.000728022656403482,0.000745333731174469
2,50674626,9.216883659362793,-0.06451737880706787,-3.3564934730529785,0.000728087208699435,0.000717439572326839,0.0007684395532123744
4,50694626,9.217256546020508,-0.06518033146858215,-3.3569157123565674,0.0007402232149615884,0.0007446508971042931,0.0007371301762759686
6,50714626,9.216874122619629,-0.06535611301660538,-3.3573074340820312,0.000754664943087846,0.0007857948658056557,0.0007146159186959267
9,50734626,9.215786933898926,-0.06527778506278992,-3.358577251434326,0.0007095999899320304,0.0007168428273871541,0.0007720349240116775
10,50754626,9.216693878173828,-0.0647260993719101,-3.356046438217163,0.0007937290938571095,0.0007129483856260777,0.0007254885276779532
12,50774626,9.217207908630371,-0.06521918624639511,-3.355207681655884,0.0007192968623712659,0.000770572223700583,0.000761066097766161
14,50794626,9.21755599975586,-0.06528064608573914,-3.355344772338867,0.000745621626265347,0.00079521001316607,0.0008144750026986003
16,50814626,9.217427253723145,-0.06470869481563568,-3.3559470176696777,0.0007567790453322232,0.0007598015363328159,0.0007548654684796929
19,50834626,9.217355728149414,-0.06358520686626434,-3.3558120727539062,0.0007892025751061738,0.0006578167085535824,0.0008432039758190513
20,50854626,9.216506004333496,-0.06369803100824356,-3.3561789989471436,0.0007024012738838792,0.0007420319016091526,0.0007275491952896118
22,50874626,9.216675758361816,-0.06561136245727539,-3.355642318725586,0.0007633708883076906,0.000760561553761363,0.0007440439658239484
24,50894626,9.216497421264648,-0.06506048887968063,-3.356266498565674,0.0007325292681343853,0.0007962716626934707,0.0007419706089422107
26,50914626,9.217157363891602,-0.06517811119556427,-3.355510950088501,0.0007709129713475704,0.0007950183353386819,0.000697386683896184
29,50934626,9.215930938720703,-0.06717975437641144,-3.354235887527466,0.0007244609296321869,0.0007023246726021171,0.0008986854227259755
30,50954626,9.216796875,-0.06515169143676758,-3.356144905090332,0.0007566179847344756,0.000714785885065794,0.00066939159296453
32,50974626,9.216931343078613,-0.0657154768705368,-3.3558483123779297,0.0007663175347261131,0.000746175937820226,0.0007225343724712729
34,50994626,9.217570304870605,-0.06627276539802551,-3.355900764465332,0.0006935629644431174,0.0007391287945210934,0.0007683872245252132
36,51014626,9.217382431030273,-0.06533394753932953,-3.3566408157348633,0.0007335769478231668,0.0006978897145017982,0.0007567856227979064
38,51034626,9.216208457946777,-0.0655989795923233,-3.3565709590911865,0.000759476562961936,0.000761358707677573,0.0006694075418636203
41,51054626,9.216129302978516,-0.06419271975755692,-3.354004383087158,0.0008059380343183875,0.000848152965772897,0.0007533253519795835
42,51074626,9.215912818908691,-0.06498133391141891,-3.3558812141418457,0.0006968702655285597,0.0007387781515717506,0.0007739835418760777
44,51094626,9.217734336853027,-0.0644969493150711,-3.3555660247802734,0.0006497567519545555,0.0007065907120704651,0.0006777679082006216
46,51114626,9.216148376464844,-0.06390640139579773,-3.3560709953308105,0.0007548531866632402,0.0007563507533632219,0.0007591436733491719
48,51134626,9.216608047485352,-0.06461359560489655,-3.3557794094085693,0.0007362061878666282,0.0007159895030781627,0.0008091116906143725
51,51154626,9.215239524841309,-0.06474924087524414,-3.3556067943573,0.0007819919846951962,0.0006711886380799115,0.0007922495133243501
52,51174626,9.217245101928711,-0.06590612232685089,-3.355530261993408,0.0007126086857169867,0.0007357729482464492,0.000771241495385766
54,51194626,9.21662425994873,-0.06449652463197708,-3.3556833267211914,0.000731653708498925,0.0007679529371671379,0.0007349735824391246
56,51214626,9.218116760253906,-0.06441203504800797,-3.355701446533203,0.000772065541241318,0.0007140554953366518,0.000675099203363061
58,51234626,9.217574119567871,-0.06432977318763733,-3.356215715408325,0.0007537174387834966,0.0006930408999323845,0.0007304028840735555
61,51254626,9.216623306274414,-0.06453847885131836,-3.354949712753296,0.000857137143611908,0.0008194760303013027,0.0007727889460511506
62,51274626,9.217401504516602,-0.06556524336338043,-3.355093479156494,0.000724326353520155,0.0007433533319272101,0.0007879508775658906
64,51294626,9.2178316116333,-0.06475218385457993,-3.3547894954681396,0.00072933838237077,0.0007499202038161457,0.0007407931261695921
66,51314626,9.21750545501709,-0.06556724011898041,-3.3565876483917236,0.0007382493349723518,0.0007122635142877698,0.0007489281706511974
68,51334626,9.216816902160645,-0.06481839716434479,-3.355985164642334,0.0007729384233243763,0.000781453971285373,0.0008125588065013289
71,51354626,9.218591690063477,-0.06527599692344666,-3.3563473224639893,0.0008133157971315086,0.000753703701775521,0.0007799224695190787
72,51374626,9.215941429138184,-0.06475390493869781,-3.3371877670288086,0.0007389629608951509,0.0006775023648515344,0.0007352656102739275
74,51394626,9.217159271240234,-0.06506305932998657,-3.373434066772461,0.000747290498111397,0.0006104889907874167,0.0007476070895791054
76,51414626,9.21731948852539,-0.06555881351232529,-3.356576442718506,0.0007478878833353519,0.000876900739967823,0.0007585802813991904
78,51434626,9.216772079467773,-0.06589148193597794,-3.355490207672119,0.0007578590884804726,0.0007987204589881003,0.0007313875248655677
81,51454626,9.21679973602295,-0.0646841749548912,-3.3566014766693115,0.0007086230325512588,0.000704857287928462,0.0008188476203940809
83,51474626,9.217215538024902,-0.06766382604837418,-3.3567466735839844,0.0006355353980325162,0.0007923532975837588,0.000778834568336606
84,51494626,9.216316223144531,-0.06490789353847504,-3.3556694984436035,0.0007363256881944835,0.0008024355047382414,0.0007844829233363271
86,51514626,9.216562271118164,-0.06437841802835464,-3.3562662601470947,0.0007658160757273436,0.0007380649913102388,0.000746665638871491
88,51534626,9.216719627380371,-0.06439921259880066,-3.35514497756958,0.0007050306303426623,0.0007409356767311692,0.0007870273548178375
90,51554626,9.217546463012695,-0.06399394571781158,-3.355713367462158,0.0007665201555937529,0.0007812983240000904,0.0007398234447464347
92,51574626,9.216851234436035,-0.06445550173521042,-3.356198787689209,0.0007144052651710808,0.0007495988393202424,0.0007768897921778262
95,51594626,9.215258598327637,-0.06423108279705048,-3.3540875911712646,0.0008455260540358722,0.0008449686574749649,0.0007430805126205087
96,51614626,9.21743106842041,-0.06455998122692108,-3.3567280769348145,0.000761469709686935,0.0007259814301505685,0.0007068203995004296
98,51634626,9.216547012329102,-0.06502261757850647,-3.3562378883361816,0.000754857319407165,0.0006997467135079205,0.0007833584095351398
100,51654626,9.216889381408691,-0.06423290073871613,-3.355515956878662,0.0007664342992939055,0.0007982480456121266,0.0007594618946313858
102,51674626,9.21830940246582,-0.06480181962251663,-3.3556087017059326,0.0007008792599663138,0.0008162967278622091,0.0007984979311004281
105,51694626,9.216078758239746,-0.06608343124389648,-3.3543245792388916,0.0007934351451694965,0.0007850776892155409,0.0007532067247666419
106,51714626,9.216962814331055,-0.06416729092597961,-3.3562417030334473,0.0007238689577206969,0.0007353918626904488,0.0007677803514525294
