,timeUS,lat,lon,alt
0,50654626,-35.3632649,149.1652374,584.8499755859375
1,50674626,0.0,0.0,0.0
3,50694626,-35.3632649,149.1652374,584.8499755859375
4,50714626,-35.3632649,149.1652374,584.8499755859375
5,50734626,-35.3632649,149.1652374,584.8499755859375
6,50754626,-35.3632649,149.1652374,584.8499755859375
7,50774626,0.0,0.0,0.0
9,50794626,-35.3632649,149.1652374,584.8499755859375
10,50814626,-35.3632649,149.1652374,584.85
12,50834626,-35.3632649,149.1652374,584.8499755859375
13,50854626,-35.3632649,149.1652374,584.8499755859375
14,50874626,0.0,0.0,0.0
16,50894626,-35.3632649,149.1652374,584.8499755859375
17,50914626,-35.3632649,149.1652374,584.8499755859375
18,50934626,-35.3632649,149.1652374,584.8499755859375
19,50954626,-35.3632649,149.1652374,584.8499755859375
20,50974626,0.0,0.0,0.0
22,50994626,-35.3632649,149.1652374,584.8499755859375
23,51014626,-35.3632649,149.1652374,584.85
25,51034626,-35.3632649,149.1652374,584.8499755859375
26,51054626,-35.3632649,149.1652374,584.8499755859375
27,51074626,0.0,0.0,0.0
29,51094626,-35.3632649,149.1652374,584.8499755859375
30,51114626,-35.3632649,149.1652374,584.8499755859375
31,51134626,-35.3632649,149.1652374,584.8499755859375
32,51154626,-35.3632649,149.1652374,584.8499755859375
33,51174626,0.0,0.0,0.0
35,51194626,-35.3632649,149.1652374,584.8499755859375
36,51214626,-35.3632649,149.1652374,584.85
38,51234626,-35.3632649,149.1652374,584.8499755859375
39,51254626,-35.3632649,149.1652374,584.8499755859375
40,51274626,0.0,0.0,0.0
42,51294626,-35.3632649,149.1652374,584.8499755859375
43,51314626,-35.3632649,149.1652374,584.8499755859375
44,51334626,-35.3632649,149.1652374,584.8499755859375
45,51354626,-35.3632649,149.1652374,584.8499755859375
46,51374626,0.0,0.0,0.0
48,51394626,-35.3632649,149.1652374,584.8499755859375
49,51414626,-35.3632649,149.1652374,584.85
51,51434626,-35.3632649,149.1652374,584.8499755859375
52,51454626,-35.3632649,149.1652374,584.8499755859375
53,51474626,0.0,0.0,0.0
55,51494626,-35.3632649,149.1652374,584.8499755859375
56,51514626,-35.3632649,149.1652374,584.8499755859375
57,51534626,-35.3632649,149.1652374,584.8499755859375
58,51554626,-35.3632649,149.1652374,584.8499755859375
59,51574626,0.0,0.0,0.0
61,51594626,-35.3632649,149.1652374,584.8499755859375
62,51614626,-35.3632649,149.1652374,584.85
64,51634626,-35.3632649,149.1652374,584.8499755859375
65,51654626,-35.3632649,149.1652374,584.8499755859375
66,51674626,0.0,0.0,0.0
68,51694626,-35.3632649,149.1652374,584.8499755859375
69,51714626,-35.3632649,149.1652374,584.8499755859375
70,51734626,-35.3632649,149.1652374,584.8499755859375
71,51754626,-35.3632649,149.1652374,584.8499755859375
72,51774626,0.0,0.0,0.0
74,51794626,-35.3632649,149.1652374,584.8499755859375
75,51814626,-35.3632649,149.1652374,584.85
77,51834626,-35.3632649,149.1652374,584.8499755859375
78,51854626,-35.3632649,149.1652374,584.8499755859375
79,51874626,0.0,0.0,0.0
81,51894626,-35.3632649,149.1652374,584.8499755859375
82,51914626,-35.3632649,149.1652374,584.8499755859375
83,51934626,-35.3632649,149.1652374,584.8499755859375
84,51954626,-35.3632649,149.1652374,584.8499755859375
85,51974626,0.0,0.0,0.0
87,51994626,-35.3632649,149.1652374,584.8499755859375
88,52014626,-35.3632649,149.1652374,584.85
90,52034626,-35.3632649,149.1652374,584.8499755859375
