,timeUS_x,lat,lon,alt,timeS,lat_rad,lon_rad,E_m,N_m,U_m,s,timeUS_y,a_x,a_y,a_z,g_x,g_y,g_z,q_w,q_x,q_y,q_z,a_x_global,a_y_global,a_z_global,a_x_clean,a_y_clean,a_z_clean,v_x,v_y,v_z,v_h,v_g
0,9162543,-35.3632649,149.1652374,584.8499755859375,9.162543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,,9162543,9.216866493225098,-0.07150398194789886,-3.35465407371521,0.07493697851896286,-6.342199048958719e-05,0.0045153191313147545,0.0020218169636701078,0.8191180701863022,-0.002227614737134537,0.5736170648464153,-0.0005758511215118758,0.07893000169684193,-0.0016762670224022003,-3.0339975090774054,-0.2861579737311465,-5.792551041866069,-0.06070095417769943,-0.0065206840166044154,-0.11597150978274554,0.06105018556996831,0.13105920890733702
1,9182543,-35.3632649,149.1652374,584.8499755859375,9.182543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9182543,9.21782112121582,-0.10534626245498657,-3.3561770915985107,0.058189112693071365,-0.00010873637802433223,0.0035008166451007128,0.0009852365733070993,0.8191256420978011,-0.0023009783219969846,0.5736086795590889,-0.0014181010331177995,0.09529280905303456,-9.857351009578963e-05,-3.0321635082522382,-0.2689727138736338,-5.7794803364425436,-0.12136256435099996,-0.012071990892652594,-0.23169182356583945,0.12196148978248376,0.2618314459671087
2,9202543,-35.3632649,149.1652374,584.8499755859375,9.202543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9202543,9.216975212097168,-0.10472794622182846,-3.3567652702331543,0.04079384729266167,-3.740795364137739e-05,0.0024884650483727455,9.706164834309317e-05,0.8191355550360968,-0.0024656384327248863,0.5735946771735781,-0.002034686416078041,0.07855062199357656,-0.0005505382609474196,-3.0301038428984244,-0.28489244843177175,-5.768439289282176,-0.18198523786250528,-0.017610642515706532,-0.3471710198230842,0.18283533993648118,0.39237288200726733
3,9242543,-35.3632649,149.1652374,584.8499755859375,9.242543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9242543,9.216224670410156,-0.10672521591186523,-3.35671067237854,0.0072514982894063,4.702724618255161e-05,0.0005205209017731249,-0.0012507719441950155,0.8191583867652856,-0.0030586834219311384,0.573557858822772,-0.001487658637542668,0.05221540565194962,-0.0010772597836901099,-3.024204313646343,-0.3095827597707586,-5.745979986982481,-0.30308761249840543,-0.029463249991576443,-0.5774554739410165,0.3045163114679568,0.6528284677727325
4,9262543,-35.3632649,149.1652374,584.8499755859375,9.262543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9262543,9.215761184692383,-0.10839926451444626,-3.3573033809661865,-0.009825577959418297,0.0002062207058770582,-0.00044350087409839034,-0.0017071974962001605,0.8191717558428839,-0.0034891468505462674,0.5735351303627799,-0.0016896388021851768,0.04171444953948029,-0.0012412785563267192,-3.021730043074212,-0.31926126338190786,-5.734650993843898,-0.36354695606561505,-0.03575169022310353,-0.692261783749288,0.3653006605775344,0.7827330003635525
5,9282543,-35.3632649,149.1652374,584.8499755859375,9.282543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9282543,9.215572357177734,-0.10737800598144531,-3.3572003841400146,-0.026776444166898727,0.00023472377506550401,-0.001434790319763124,-0.0020191548223598343,0.8191850619576497,-0.004008636295637372,0.5735117157602749,-0.0011218803059195913,0.02983615499768858,-0.0014217711710955427,-3.018486033841173,-0.33031710542237946,-5.7233384745474485,-0.4239491168347676,-0.04224747391114626,-0.8068416784331991,0.42604894403912374,0.9124205153183231
6,9302543,-35.3632649,149.1652374,584.8499755859375,9.302543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9302543,9.217415809631348,-0.10440460592508316,-3.3561313152313232,-0.04389233887195587,0.000273645855486393,-0.0024210766423493624,-0.002186124178309987,0.8191759274738731,-0.004618521634062766,0.5735195637171521,0.0003006717756273267,0.017298902527185273,-5.746234849191012e-05,-3.014387231022853,-0.3420319053915627,-5.7104811538136255,-0.4842778494834066,-0.048970964019285544,-0.9211798747168074,0.48674756375070966,1.0418711784095596
7,9342543,-35.3632649,149.1652374,584.8499755859375,9.342543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9342543,9.215912818908691,-0.049360599368810654,-3.352031707763672,-0.0729551762342453,0.00039427753654308617,-0.0042128898203372955,-0.0010435359310412575,0.8191773154116019,-0.005323920520925431,0.5735146840474868,0.0035077316996468674,-0.027320044343450423,-0.0033265866888356754,-3.005827669625287,-0.38500594725955833,-5.6907642543315315,-0.604719199476827,-0.06331363868083674,-1.1491901946079435,0.6080246105700837,1.3001276977443197
8,9362543,-35.3632649,149.1652374,584.8499755859375,9.362543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9362543,9.216575622558594,0.03260071203112602,-3.3523993492126465,-0.038839325308799744,0.00011530691699590534,-0.002255440456792712,-0.00017291270199765353,0.8191679570896399,-0.005150124446189478,0.5735305609965107,0.002426883315831626,-0.09333847371744272,-0.0030538673382594084,-3.0042322672723287,-0.4502019241322306,-5.678998523069736,-0.6648197988458071,-0.07166571739475519,-1.2628878223819637,0.668671324334373,1.428988100687946
9,9382543,-35.3632649,149.1652374,584.8499755859375,9.382543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9382543,9.21712875366211,0.03066159226000309,-3.3546552658081055,0.011433188803493977,0.00011382121010683477,0.0007811328396201134,0.0002692247872614952,0.819165080001967,-0.004712752611757649,0.5735383938205056,0.00041515047351098865,-0.07936507903174975,-0.001645624309896121,-3.003567749377876,-0.4354060769452176,-5.666097268130153,-0.7248977990123079,-0.08052179740552948,-1.3763387802939602,0.7293562770486763,1.5576485537538214
10,9402543,-35.3632649,149.1652374,584.8499755859375,9.402543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9402543,9.216608047485352,0.020777855068445206,-3.3530776500701904,0.05845838785171509,7.053920126054436e-05,0.00348125328309834,0.00031042413834689753,0.8191545149400301,-0.004028231822780018,0.5735586784615854,0.001431579962179069,-0.06112074600284126,-0.0025697783456006817,-2.9998750691524347,-0.41633929141498904,-5.6555284102546395,-0.7849322271976097,-0.08903925108913135,-1.4895550370778057,0.7899661951804731,1.6860666647590707
11,9442543,-35.3632649,149.1652374,584.8499755859375,9.442543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9442543,9.217793464660645,-0.10714981704950333,-3.3740949630737305,0.05052541196346283,-0.00027809716993942857,0.0031196842901408672,-0.0017391104850076218,0.8192738680661724,-0.0041185793474257425,0.573384985766781,-0.013157614849455256,0.032876951618142344,0.006438266677864846,-3.0091117624905226,-0.32069668879136526,-5.623534341408735,-0.9049934549771634,-0.10286424837091925,-1.7152050546150541,0.9108206229244139,1.9420408302920535
12,9462543,-35.3632649,149.1652374,584.8499755859375,9.462543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9462543,9.216696739196777,-0.10624915361404419,-3.3602051734924316,0.03264177590608597,6.855180254206061e-05,0.0020312450360506773,-0.0025582158774849688,0.8192771527770983,-0.004326294291737888,0.5733756932820545,-0.0003748004542197348,0.01645475950320899,0.0006827271777503086,-2.9936526973585136,-0.3362964284049786,-5.617796868997631,-0.9650210995756525,-0.10943417954288254,-1.8276183667191155,0.9712062408564028,2.0696450073980013
13,9482543,-35.3632649,149.1652374,584.8499755859375,9.482543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9482543,9.214742660522461,-0.10811576247215271,-3.3493142127990723,0.016580302268266678,5.9875990700675175e-05,0.00108346960041672,-0.003146518891182362,0.8191184839640547,-0.0045509657559254174,0.5735976790033104,0.0038032137560775475,0.006367276414884482,-0.004847170637187759,-2.986798432411443,-0.34556145899198304,-5.61183375490135,-1.024825610873351,-0.11625275841685201,-1.939914672958103,1.0313981949477435,2.1970551142153005
14,9502543,-35.3632649,149.1652374,584.8499755859375,9.502543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9502543,9.215694427490234,-0.10767397284507751,-3.356806993484497,-0.0011124424636363983,0.00016516556206624955,8.626313501736149e-05,-0.0035842217304472546,0.8192700890558718,-0.004872297581279376,0.5733759109425948,0.0023360959154278336,-0.004744076777786619,-0.0013944572533333144,-2.9855892995153197,-0.35585035968333406,-5.596888029606276,-1.0845494881926172,-0.12326687660360502,-2.0520018908031767,1.0915320953625123,2.324253444671275
15,9542543,-35.3632649,149.1652374,584.8499755859375,9.542543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9542543,9.216361045837402,-0.105485700070858,-3.357478618621826,-0.035285841673612595,0.0002809728612191975,-0.0019104343373328447,-0.0030606061055320206,0.8193068549002379,-0.005106832765551438,0.5733243675816092,0.003229475460209085,-0.001167447277402575,-0.000561226950523519,-2.9793434184969914,-0.35062882518030997,-5.573068775481029,-1.2039710977917768,-0.1371906851743962,-2.2754057894583823,1.2117622243726516,2.5779525199501405
16,9562543,-35.3632649,149.1652374,584.8499755859375,9.562543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9562543,9.2166166305542,-0.1027422696352005,-3.3567233085632324,-0.05241665244102478,0.00031199929071590304,-0.0028615694027394056,-0.002303777339024256,0.8190830718922311,-0.005163563095149947,0.5736470618470217,-0.003609692936418624,0.00763136478950868,-0.0006117320590206532,-2.9835063361568457,-0.34100756061207865,-5.561626268678307,-1.263599595338314,-0.14410704903231994,-2.3867527398999733,1.2717903832471584,2.704448080540646
17,9582543,-35.3632649,149.1652374,584.8499755859375,9.582543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9582543,9.217886924743652,-0.09206918627023697,-3.3564746379852295,-0.06956638395786285,0.00036734744207933545,-0.0039421431720256805,-0.001388053862944897,0.8193048712122988,-0.005305441823866071,0.5733318878287914,0.00466139589032979,0.010041102840385048,0.0003881439778243845,-2.972558996593324,-0.3377753700598822,-5.549133380730243,-1.3231602486658143,-0.1508948783390394,-2.4978603363940564,1.3317365760383444,2.8306940082052248
18,9602543,-35.3632649,149.1652374,584.8499755859375,9.602543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9602543,9.218160629272461,0.01669452339410782,-3.351229190826416,-0.05099944770336151,8.733612776268274e-05,-0.0031337100081145763,-0.00041697173519669023,0.8192719209760617,-0.005196964360006309,0.573381493594105,0.007756444071073279,-0.08191563882953337,-0.0019048307371214435,-2.9667876976758074,-0.42890965922848057,-5.53993334353397,-1.3825537156085097,-0.15856172863192353,-2.608751003636706,1.3916165414113328,2.9567175038047107
19,9622543,-35.3632649,149.1652374,584.8499755859375,9.622543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9622543,9.216713905334473,0.031439781188964844,-3.3529648780822754,-0.0029632688965648413,0.00012941984459757805,1.673746737651527e-05,0.0001453808066324503,0.8192497909628899,-0.004837276017738071,0.5734163928877606,0.004751498378039082,-0.0835527219346204,-0.002646967086338492,-2.9671163926320685,-0.42972428983224753,-5.529182467971967,-1.441892756511587,-0.16714806812253064,-2.719442161751763,1.4515485517052735,3.082589636826605
20,9642543,-35.3632649,149.1652374,584.8499755859375,9.642543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9642543,9.216818809509277,0.026041800156235695,-3.3524222373962402,0.04463612288236618,0.00011912432091776282,0.0027527092024683952,0.00030154091943499726,0.8192230678360115,-0.004227726724746148,0.5734593276991565,0.004427189507470617,-0.06878558403593944,-0.0026348623144389904,-2.9647644507658635,-0.4141346994322465,-5.5176773512888495,-1.501211564945565,-0.1755866580151754,-2.8299107599443687,1.5114452809146783,3.208249015654515
21,9662543,-35.3632649,149.1652374,584.8499755859375,9.662543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9662543,9.217497825622559,-0.07089360803365707,-3.3548285961151123,0.0699644610285759,-6.254082836676389e-05,0.004205766133964062,-0.0008301926843623413,0.8191818864847551,-0.004235331386032078,0.5735175756709077,0.0015857779744408238,0.009888078576496285,-0.0007152814520363648,-2.9649296115621198,-0.33463858431849075,-5.504264758515228,-1.5605085055688437,-0.18307439085268262,-2.940130181042407,1.5712106887807207,3.333626930239082
22,9682543,-35.3632649,149.1652374,584.8499755859375,9.682543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9682543,9.217601776123047,-0.1074107363820076,-3.3573172092437744,0.05346348509192467,-4.576960054691881e-05,0.0032261416781693697,-0.0018265907651280411,0.819184672593776,-0.004333556544327588,0.5735105544288458,-0.0004726000841831536,0.029290118094994648,0.0005270132950787598,-2.9643117388839704,-0.31441409229867234,-5.491529451856893,-1.6198009190733087,-0.1895649176188547,-3.0500881231461356,1.630855565469419,3.4587175996862904
23,9702543,-35.3632649,149.1652374,584.8499755859375,9.702543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9702543,9.217329025268555,-0.10597890615463257,-3.356675148010254,0.03503013402223587,5.1060080295428634e-05,0.0022046933881938457,-0.0026663260981068964,0.8191817253831039,-0.004529106275662358,0.5735099639063331,-7.070331407811691e-05,0.012162380742583561,7.166178582451721e-05,-2.961233591377092,-0.33071937714976335,-5.480491791454929,-1.679056372375918,-0.1960162523133389,-3.1598083355792514,1.690459308231684,3.5835794103637864
24,9742543,-35.3632649,149.1652374,584.8499755859375,9.742543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9742543,9.21725082397461,-0.10775129497051239,-3.3567779064178467,0.0009321297402493656,0.00013342328020371497,0.00020791453425772488,-0.0032376027541177327,0.8189447032118886,-0.004715854997041884,0.5738439262737257,-0.008264786454764684,0.0026682272918190308,5.634950744770606e-05,-2.964075173044232,-0.33856862559788775,-5.457521079910867,-1.7974770528563035,-0.2096201809099195,-3.3785498049843254,1.8096586351546222,3.832683545578648
25,9762543,-35.3632649,149.1652374,584.8499755859375,9.762543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9762543,9.218008041381836,-0.10705254971981049,-3.356837749481201,-0.016073772683739662,0.0002051651244983077,-0.0008329126867465675,-0.003193300947538502,0.8192151302557588,-0.004868730478865665,0.5734567713896341,0.0012150055236406056,0.0009337914113924261,0.0007843635215483147,-2.951919130329054,-0.33948060897699434,-5.445300053985548,-1.8566369958900404,-0.21640067325566878,-3.487578016323297,1.8692057633907244,3.956909223855741
26,9782543,-35.3632649,149.1652374,584.8499755859375,9.782543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9782543,9.216381072998047,-0.10579979419708252,-3.356940269470215,-0.03313435614109039,0.0002115530805895105,-0.001822039601393044,-0.002716031608522665,0.8189590063398726,-0.004904028004145149,0.5738246418693124,-0.008187552730122583,0.00699498789650195,-0.0007285853594538594,-2.9586454378460436,-0.33259695999056477,-5.435319990955331,-1.9157426415717902,-0.22312144894534422,-3.5963842167727034,1.9286920567358414,4.080910742024106
27,9802543,-35.3632649,149.1652374,584.8499755859375,9.802543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9802543,9.216547012329102,-0.1029684841632843,-3.357003927230835,-0.050370387732982635,0.0003656228072941303,-0.0027633407153189182,-0.002473098515955436,0.8192162028714879,-0.005302561445171125,0.5734549499120851,0.0006788533045024667,0.0035603179945237384,-0.000575777858283999,-2.9471027810746455,-0.3352091773912229,-5.423674171542942,-1.9748001237609958,-0.22979951031916196,-3.704974158397684,1.9881255855074575,4.204696999564177
28,9842543,-35.3632649,149.1652374,584.8499755859375,9.842543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9842543,9.217331886291504,0.018360059708356857,-3.350963830947876,-0.05061075836420059,0.00031391013180837035,-0.0027481557335704565,-0.0004379293771912741,0.8190950198915443,-0.005203158198055143,0.5736341026747777,0.0016586586407073948,-0.08395711213388792,-0.002785755254802069,-2.9407704742648937,-0.42108170251699445,-5.402898125117022,-2.092609287268322,-0.24392692923605197,-3.921513027075832,2.1067781031632555,4.45160402523558
29,9862543,-35.3632649,149.1652374,584.8499755859375,9.862543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9862543,9.216343879699707,0.03156525269150734,-3.3528881072998047,-0.0009071591775864363,0.00018226372776553035,0.00012383403372950852,0.00010905922986242066,0.8190963928653979,-0.004831027796261749,0.5736355537023572,-0.0005501533228548934,-0.08416779307757159,-0.0030246755654594892,-2.9403030354916826,-0.4204699309593581,-5.39164403351646,-2.1514200223658917,-0.2523424455708161,-4.029458448662174,2.1661682350347387,4.574802751154249
30,9882543,-35.3632649,149.1652374,584.8499755859375,9.882543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9882543,9.216215133666992,0.0265020914375782,-3.353498697280884,0.04668005183339119,0.00014312268467620015,0.002847652416676283,0.0002508790469328952,0.8191006382143589,-0.004208412751240101,0.5736343528752867,-0.000981583277266423,-0.06981761461866814,-0.0028392589531378576,-2.938058214709321,-0.40529729999913455,-5.37996560499292,-2.2102036348679004,-0.26060011788040083,-4.137174545047266,2.225513992097681,4.697778809736534
31,9902543,-35.3632649,149.1652374,584.8499755859375,9.902543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9902543,9.218055725097656,-0.08071232587099075,-3.355856418609619,0.0665503665804863,-7.728260243311524e-05,0.003994901664555073,-0.0008556516840061365,0.8191188931765597,-0.004237080239834491,0.573607491105586,-0.001286967177964062,0.019283189320439945,0.00022245594877645658,-2.9356873478732455,-0.31537404355870646,-5.3654108781797865,-2.268941090493725,-0.2678068313159791,-4.2446283098789905,2.2846912638320216,4.8204443425950405
32,9942543,-35.3632649,149.1652374,584.8499755859375,9.942543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9942543,9.21694278717041,-0.10486865043640137,-3.354879379272461,0.031105652451515198,0.0002085604501189664,0.0019980790093541145,-0.0026154683033781344,0.8191411507603948,-0.004573875940571322,0.5735677938268243,0.00010214449399727253,0.01137127515603779,-0.000916551025145651,-2.9289457347277374,-0.32164105272046845,-5.343563861331271,-2.3862785678707668,-0.2803090515238005,-4.458794317821222,2.40268569893058,5.064952648986992
33,9962543,-35.3632649,149.1652374,584.8499755859375,9.962543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9962543,9.2160062789917,-0.10677199065685272,-3.3394360542297363,0.01351887732744217,3.2803029171191156e-05,0.0009231179719790816,-0.003035928295088777,0.8189110521041945,-0.004714782806745552,0.5738930585954789,0.006458329982862371,0.0049522922738495226,-0.0070443784811597965,-2.9199132985020992,-0.32723758310133666,-5.338198676876066,-2.4447671582030637,-0.2867978378820184,-4.565611943203293,2.461531933094122,5.186901953340032
34,9982543,-35.3632649,149.1652374,584.8499755859375,9.982543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,9982543,9.216599464416504,-0.10772529244422913,-3.3738760948181152,-0.003594744950532913,2.1344716515159234e-05,-9.141757618635893e-05,-0.003093091401149031,0.8191827424373889,-0.0047986850363134865,0.5735041760094387,-0.01639515953954304,0.004031454910787988,0.005297513341862015,-2.940090537287731,-0.3273359679630782,-5.3143637731418245,-2.5033671965609607,-0.2933435733926624,-4.672137567703469,2.5204955411323904,5.30865022622647
35,10002543,-35.3632649,149.1652374,584.8499755859375,10.002543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10002543,9.216760635375977,-0.1051587462425232,-3.357184648513794,-0.020625870674848557,0.00029439490754157305,-0.0010750996880233288,-0.003374129774094878,0.8193265710949892,-0.005228994262612288,0.5732933304731502,0.004338294614892528,-0.007914448547374288,-0.0002934663340621313,-2.916680832396522,-0.3384594189199204,-5.30846174090653,-2.561934910257802,-0.30000152726149226,-4.77836582284395,2.5794401331988457,5.430128114297123
36,10042543,-35.3632649,149.1652374,584.8499755859375,10.042543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10042543,9.217256546020508,-0.10062635689973831,-3.3567140102386475,-0.05505526065826416,0.00037187058478593826,-0.0030170546378940344,-0.0023105324381010933,0.8194158800603224,-0.005527666758122555,0.573168144478591,0.008065316021887956,0.0012671119927089673,-3.536242368085141e-05,-2.90760130951598,-0.32763295337719706,-5.28521761317371,-2.678560141889617,-0.313172317318947,-4.990232053037104,2.6968057649846875,5.672316746904527
37,10062543,-35.3632649,149.1652374,584.8499755859375,10.062543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10062543,9.218164443969727,-0.04049360752105713,-3.354001045227051,-0.06352490186691284,0.00011596438707783818,-0.0035849229898303747,-0.0012459953723863257,0.8193522332164255,-0.005495171712173716,0.5732627395066262,0.008358597079686317,-0.0414038045515258,-0.0006302792419177194,-2.9046317777214083,-0.36948141742011176,-5.274319518080729,-2.7366824727619896,-0.32014346102691993,-5.095827424349646,2.755344405398529,5.793045825048765
38,10082543,-35.3632649,149.1652374,584.8499755859375,10.082543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10082543,9.216873168945312,0.03254420682787895,-3.352621555328369,-0.02448611706495285,0.0002156860864488408,-0.0012492078822106123,-0.0005015145273719447,0.8193235013399889,-0.0052494050882075875,0.5733072408241328,0.007646338687237394,-0.09970095188963217,-0.0027637591025939656,-2.9026677853770844,-0.42695611225689806,-5.264959986030186,-2.794755468392973,-0.32810783632368984,-5.201220219390753,2.8139496940011988,5.9136287210957565
39,10102543,-35.3632649,149.1652374,584.8499755859375,10.102543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10102543,9.215656280517578,0.02848236821591854,-3.353127956390381,0.024164430797100067,0.00011189185897819698,0.0015158921014517546,-0.00017086812815040253,0.8192961509994118,-0.0047472740836766525,0.573350897052064,0.0058463379469502336,-0.08465929950068171,-0.0036042481852831543,-2.901791535380598,-0.41109200736662754,-5.2543074632016555,-2.8528000616005538,-0.33648831751992564,-5.306412893883079,2.872575948394666,6.034045937815199
40,10142543,-35.3632649,149.1652374,584.8499755859375,10.142543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10142543,9.216692924499512,-0.10413642972707748,-3.3576607704162598,0.05635349452495575,-2.9174896553740837e-05,0.0034341360442340374,-0.0012416356609751722,0.8191954051630956,-0.004145401127362945,0.573498179726885,-0.0007485959212276721,0.03754317958212059,-0.00027275307926721837,-2.903033967775229,-0.2872446232811851,-5.227989944273202,-2.968871208612314,-0.3503441821440247,-5.516045613807041,2.989471073499342,6.27404945094388
41,10162543,-35.3632649,149.1652374,584.8499755859375,10.162543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10162543,9.216970443725586,-0.10576426982879639,-3.357372760772705,0.03698260337114334,1.3780642802885268e-05,0.0023020580410957336,-0.0020978449008009006,0.8191972530257065,-0.004330528989509704,0.5734916792775462,-0.00033534587153866716,0.023322698920808214,-4.902992272093343e-05,-2.899944466988767,-0.3006426514411774,-5.216273209205436,-3.026900992959953,-0.35622305489124817,-5.620488245341825,3.0477900987466318,6.393661908643874
42,10182543,-35.3632649,149.1652374,584.8499755859375,10.182543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10182543,9.216734886169434,-0.10585393756628036,-3.358152389526367,0.01964251697063446,8.448815060546622e-05,0.0012335969367995858,-0.002804669444222491,0.8192131911959876,-0.004605524073845225,0.5734637480676527,-0.0005743923541065327,0.008958985573703922,2.109559217444712e-05,-2.8975072627345613,-0.3141839122869617,-5.204710071779322,-3.08487551025719,-0.36237132052853,-5.72469807815168,3.1060859433901937,6.513059033489538
43,10202543,-35.3632649,149.1652374,584.8499755859375,10.202543,-0.6172054067599433,2.603424522148986,0.0,0.0,0.0,0.0,10202543,9.217020034790039,-0.10749010741710663,-3.3559072017669678,0.0027555786073207855,6.361734995152801e-05,0.00016664445865899324,-0.003357228229324469,0.8191534559920954,-0.004960834332429989,0.5735431410779391,-0.00033881212909280477,-0.002284009658389081,-0.00045769363875081126,-2.8945954317727742,-0.32460445501773466,-5.193695849099028,-3.1427965372022624,-0.3687592042015768,-5.828682137360461,3.164356715816646,6.63224614164152
